year y x1 x2 x3 x4 x5 x6 x7
1967 80 -1.4 0.0 51.3 64.9 133.4 101.2 9.5 
1968 115 -2.1 -1.4 93.3 143.3 114.1 46.9 9.3 
1969 140 -2.6 -2.1 217.5 73.0 94.9 55.8 10.2 
1970 165 -3.7 -2.6 42.3 94.2 106.5 72.7 8.5 
1971 198 -2.2 -3.7 96.4 62.8 52.9 30.0 10.0 
1972 160 -1.6 -2.2 50.2 97.2 149.8 133.8 7.3 
1973 118 -1.6 -1.6 115.0 93.3 92.3 25.4 8.1 
1974 100 -1.1 -1.6 75.2 102.8 89.7 56.4 11.6 
1975 52 -0.2 -1.1 160.1 84.7 85.0 67.9 8.8 
1976 42 -2.1 -0.2 108.3 35.9 61.1 57.3 8.4 
1977 81 -1.5 -2.1 72.3 80.4 60.1 34.4 14.3 
1978 58 -1.6 -1.5 58.2 103.0 91.5 91.5 10.0 
1979 55 -3.6 -1.6 131.8 59.5 52.2 51.3 6.9 
1980 54 0.7 -3.6 28.4 165.2 141.0 81.8 7.6 
1981 46 -2.7 0.7 53.6 62.8 78.3 52.4 6.6 
1982 34 -2.4 -2.7 83.6 104.7 122.0 94.7 7.3 
1983 35 -1.4 -2.4 67.2 165.4 142.3 140.9 12.7 
1984 66 -2.3 -1.4 138.0 184.4 126.1 22.9 8.5 
1985 40 -3.4 -2.3 310.1 192.5 119.0 40.9 6.5 
1986 50 -4.0 -3.4 77.7 118.7 148.1 139.5 7.9 
1987 74 -3.5 -4.0 95.4 144.2 141.0 136.5 13.3 
1988 57 -0.8 -3.5 121.8 136.6 146.5 114.0 8.6 
1989 45 0.1 -0.8 148.2 126.3 115.2 39.7 8.9 
1990 53 0.2 0.1 71.9 59.2 59.3 59.3 9.8 
1991 42 -1.5 0.2 119.0 56.7 70.5 70.5 8.8 
1992 43 -1.1 -1.5 58.4 68.5 103.8 103.5 9.8 
1993 55 -1.4 -1.1 69.2 44.2 97.8 88.4 9.9 
1994 47 -1.4 -1.4 176.5 73.6 80.5 59.1 8.7 
1995 36 0.1 -1.4 167.0 139.5 114.5 99.1 11.5 
1996 26 -3.1 0.1 104.3 143.7 157.6 127.9 10.3
